Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Sanders,Biden,Chafee,Lessig,O'Malley,Webb,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Morning Consult,2016-03-24,2016-03-26,2016-03-28 17:06:25 UTC,931,Registered Voters - Democrat,Internet,50,39,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Ipsos/Reuters,2016-03-19,2016-03-23,2016-03-24 17:37:44 UTC,584,Registered Voters - Democrat,Internet,50,45,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24148,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical3.23.16.pdf,Nonpartisan,None
FOX,2016-03-20,2016-03-22,2016-03-23 22:19:32 UTC,410,Likely Voters - Democrat,Live Phone,55,42,,,,,,1,http://elections.huffingtonpost.com/pollster/polls/fox-24141,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,Nonpartisan,None
Bloomberg/Selzer,2016-03-19,2016-03-22,2016-03-23 21:46:55 UTC,311,Likely Voters - Democrat,Live Phone,48,49,,,,,,3,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24140,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r.f2qF2GAiq8/v0,Nonpartisan,None
Morning Consult,2016-03-18,2016-03-21,2016-03-21 19:05:11 UTC,884,Registered Voters - Democrat,Internet,51,39,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Quinnipiac,2016-03-16,2016-03-21,2016-03-23 11:19:56 UTC,635,Registered Voters - Democrat,Live Phone,50,38,,,,,,10,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333,Nonpartisan,None
CBS/Times,2016-03-17,2016-03-20,2016-03-21 23:13:18 UTC,388,Likely Voters - Democrat,Live Phone,50,45,,,,,,3,http://elections.huffingtonpost.com/pollster/polls/cbs-times-24126,http://www.cbsnews.com/news/cbsnyt-poll-who-do-gop-voters-blame-for-violence-at-donald-trump-rallies/,Nonpartisan,None
CNN,2016-03-17,2016-03-20,2016-03-22 00:48:49 UTC,478,Likely Voters - Democrat,Live Phone,51,44,,,,,,3,http://elections.huffingtonpost.com/pollster/polls/cnn-24127,http://www.cnn.com/2016/03/21/politics/2016-election-poll-results-toplines/index.html,Nonpartisan,None
Monmouth University,2016-03-17,2016-03-20,2016-03-23 15:18:29 UTC,391,Registered Voters - Democrat,Live Phone,55,37,,,,,,8,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24136,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/d0335f8b-d571-463c-88ec-729620d17068.pdf,Nonpartisan,None
NBC/SurveyMonkey,2016-03-14,2016-03-20,2016-03-22 12:18:31 UTC,4163,Registered Voters - Democrat,Internet,53,41,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24130,http://www.msnbc.com/msnbc/trump-maintains-national-lead-big-divisions-exist-within-evangelical-support,Nonpartisan,None
